"idx","office","ranking"
 "1","Abbess","1"
 "2","Cellarer","21"
 "3","Chantress","13"
 "4","Dean","6"
 "5","Discreet","5"
 "6","Infirmarian","15"
 "7","Novice Mistress","11"
 "8","Portress","18"
 "9","Prioress","2"
 "10","Procuratrix","7"
 "11","Sacristan","20"
 "12","Thourier","22"
 "13","Guardrobe","19"
 "14","Sub-Prioress","4"
 "15","Musician","14"
 "16","Superior","3"
 "17","Vicaress","10"
 "18","Apothecary","16"
 "19","School Mistress","12"
 "20","Depository","9"
 "21","Dispenser","17"
 "22","Secretary","8"
 