"plid","place","loc","o_p"
 "2","Sarsden","Oxon","1"
 "3","St George","London","1"
 "4","Desborough","Northants","1"
 "5","Ballyfrance","Ireland","1"
 "6","Aston Flamville","Leics","1"
 "8","Compeyne Hall","Somerset","1"
 "9","Braceborough","Lincs","1"
 "11","Warkworth","Northd","1"
 "13","Ballinamultina, Waterford","Ireland","1"
 "15","Limerick","Ireland","1"
 "16","Wetherby","Yorks","1"
 "18","Sudborough Park, nr Kettering","Northants","1"
 "19","Spetisbury","Dorset","1"
 "20","Eslington","Northd","1"
 "21","Aston Hall","Staffs","1"
 "24","Clerkenwell","Middx","1"
 "25","Cranham","Essex","1"
 "26","Flints","Wales","1"
 "27","Arlington","Surrey","1"
 "28","Botsworth","Lincs","1"
 "29","Scargill","Durham","1"
 "30","nr Norwich","Norfolk","1"
 "31","Eindhoven","Low Countries","0"
 "32","Dunsley","Yorks","1"
 "34","Courtrai","Low Countries","0"
 "36","Royal Priory, Pontoise","France","0"
 "37","Hull","Yorks","1"
 "38","Wicklow","Ireland","1"
 "39","Steeple Barton","Oxon","1"
 "41","Ufton Court, Ufton Nervet","Berks","1"
 "42","Rixton Hall, Glazebrook","Lancs","1"
 "43","Fazakerley Hall","Lancs","1"
 "44","Hazlewood","Yorks","1"
 "48","Basing","Hants","1"
 "49","Gifford's Hall, Stoke-by-Nayland","Suffolk","1"
 "50",NULL,"Wales","1"
 "51","Aston","Staffs","1"
 "53","Codoff","Ireland","1"
 "54",NULL,"Monmths","1"
 "55","Angram Grange, Cuxwold","Yorks","1"
 "57","Madeley","Shrops","1"
 "58","co Kildare","Ireland","1"
 "59","Thorndon","Essex","1"
 "61","Sutton Place","Surrey","1"
 "62","Aldershot","Hants","1"
 "63","Arlington","Devon","1"
 "65","Churchill Wood, nr Worcester","Worcs","1"
 "66","Terling","Essex","1"
 "67","Corre Stowen, co Kilkenny","Ireland","1"
 "68","Athelhampton","Dorset","1"
 "69","Wight House","Northd","1"
 "70","Woodhouse","Hants","1"
 "73","Hartley","Hants","1"
 "74","Frickley Hall, nr Doncaster","Yorks","1"
 "75","Milton","Cambs","1"
 "76","Beeston","Norfolk","1"
 "77","Brough Hall, nr Catterick","Yorks","1"
 "78","Bunny","Notts","1"
 "80","Buckland, nr Faringdon","Berks","1"
 "81","Ashby","Leics","1"
 "82","Grimsey","Unidentified","0"
 "83","Sysonby","Leics","1"
 "84","Little Studley","Yorks","1"
 "87","East Lulworth","Dorset","1"
 "88","Sunderland Hall","Lancs","1"
 "89","Horwich Hall","Lancs","1"
 "90","Stourton","Wilts","1"
 "91","South Benfleet","Essex","1"
 "92","Witham","Essex","1"
 "93","Northampton County, Pennsylvania","America","0"
 "94","Foxcote","Warws","1"
 "96","Dolphin Lee","Lancs","1"
 "97","Beverston Castle","Gloucs","1"
 "98","Scackleton","Yorks","1"
 "100",NULL,"Herts","1"
 "101","Gravelines","Low Countries","0"
 "103","Richmond","Yorks","1"
 "104","Ditchley","Oxon","1"
 "105","Spain","Europe","0"
 "106","Wappingthorn","Sussex","1"
 "107","Yaxley","Suffolk","1"
 "108","Hough, nr Grantham","Lincs","1"
 "109","Haslingden","Lancs","1"
 "110","Louvain","Low Countries","0"
 "111","Monmouth","Monmths","1"
 "112","Courtfield","Herefs","1"
 "116","Tunstead, nr Buxton","Derbys","1"
 "117","Norrington","Wilts","1"
 "118","Heworth","Yorks","1"
 "119","Parlington","Yorks","1"
 "120","Lyde","Herefs","1"
 "122","Coddington","Oxon","1"
 "123","Newland","Gloucs","1"
 "125","Carside","Lancs","1"
 "127","Burstall","Leics","1"
 "129",NULL,"Yorks","1"
 "131","Monksrood, nr Pontefract","Yorks","1"
 "132","Arundel","Sussex","1"
 "133","Gt Hallingbury","Essex","1"
 "134","Rocester","Staffs","1"
 "135","Cliffe","Yorks","1"
 "136","Golden","Cornw","1"
 "137","Trelouth [unid]","Herefs","1"
 "138","Cambridge","Cambs","1"
 "139","Sherborne","Hants","1"
 "140","Whiteknights","Berks","1"
 "142","Winchester","Hants","1"
 "143","Oulton","Staffs","1"
 "144","Chudleigh","Devon","1"
 "145","Killingholme","Lincs","1"
 "146","Methley","Yorks","1"
 "147","Waterford","Ireland","1"
 "148","Haggerston Castle","Northd","1"
 "149","Ponteland","Northd","1"
 "150","Southworth Hall","Lancs","1"
 "151","St Margaret's, Westminster","Middx","1"
 "152","Stratford Langthorne","Essex","1"
 "153","Harbottle","Northd","1"
 "154","Wandsworth","Surrey","1"
 "155","Mapledurham","Oxon","1"
 "156","Plymouth","Devon","1"
 "157","Meanfields","Lancs","1"
 "158","Trent","Somerset","1"
 "160","Rawcliffe","Lancs","1"
 "161","Stoke","Staffs","1"
 "162","Littlestoke","Oxon","1"
 "164","Pwllhalog, Flints","Wales","1"
 "165","Healaugh","Yorks","1"
 "166","Castelgar","Ireland","1"
 "170","Walton Hall, Walton-on-the-Hill","Lancs","1"
 "172","Brightwell Baldwin","Oxon","1"
 "173","Idsworth","Hants","1"
 "174","Kew","Surrey","1"
 "177","Kilkenny","Ireland","1"
 "179","Harting","Sussex","1"
 "180","St Amands aan de Schelde","Low Countries","0"
 "181","Kilvington","Yorks","1"
 "182","Kirby Bedon","Norfolk","1"
 "183",NULL,"Devon","1"
 "184","High House","Cumbd","1"
 "185","The Lodge","Lancs","1"
 "186","Newhall","Lancs","1"
 "187","Holland, Utrecht","Low Countries","0"
 "189","Cornesse of  Liège","Low Countries","0"
 "190",NULL,"Lincs","1"
 "193","Hoxton","Middx","1"
 "194","Buckenham Castle","Norfolk","1"
 "195","Kinnersley","Surrey","1"
 "196","Aldborough","Yorks","1"
 "197","Lisbon","Portugal","0"
 "198","Copenhagen","Europe","0"
 "199","Babthorpe","Yorks","1"
 "200","Euston","Suffolk","1"
 "201","Lucton","Herefs","1"
 "202","Ste Croix","America","0"
 "204","Island Hill","Warws","1"
 "205","River Park","Sussex","1"
 "206","Wymering","Hants","1"
 "207","Kampenhout, Brabant","Low Countries","0"
 "208",NULL,"Middx","1"
 "209","Low Leyton","Essex","1"
 "210","Hayton Castle","Cumbd","1"
 "211","Burn Hall","Yorks","1"
 "212","Great Eccleston","Lancs","1"
 "213","Puddington","Ches","1"
 "215","Huddleston Hall","Yorks","1"
 "217","Canwell","Staffs","1"
 "219","Costello-Gallen, co Sligo","Ireland","1"
 "220","Park Hall in Charnock Richard","Lancs","1"
 "221","Port Tobacco, Maryland","America","0"
 "222","Penketh","Lancs","1"
 "223","Bishops Frome","Herefs","1"
 "224","Liège","Low Countries","0"
 "225","Formby","Lancs","1"
 "226","Washbrook","Suffolk","1"
 "228","Thorpe Arnold","Leics","1"
 "230","Redlingfield","Suffolk","1"
 "231","New Brentford","Middx","1"
 "232","Kettleby","Lincs","1"
 "233","Wootton Bassett","Wilts","1"
 "234","Gray's Inn","London","1"
 "235","St Germain en Laye","France","0"
 "236","Ince Blundell","Lancs","1"
 "238","Pencoed Castle","Monmths","1"
 "239","Haggerston","Middx","1"
 "240","Lydney","Gloucs","1"
 "241","Long Ashton","Somerset","1"
 "242","Stoke Lyne","Oxon","1"
 "243","Whetstone","Leics","1"
 "244","Ward's House Salwick","Lancs","1"
 "245","Galway","Ireland","1"
 "247","Rethy/Vethy, Brabant","Low Countries","0"
 "248","Ollerton","Notts","1"
 "249","Copdock","Suffolk","1"
 "250","Abrantes","Portugal","0"
 "251",NULL,"Ireland","1"
 "252","Ashbourne","Derbys","1"
 "253","Grafton","Worcs","1"
 "255","co Tipperary","Ireland","1"
 "256","Courtfield","Monmths","1"
 "258","Brightwell","Suffolk","1"
 "260","Downham","Essex","1"
 "261","Nuffield","Oxon","1"
 "262","Hammersmith","Middx","1"
 "263","Cannington","Somerset","1"
 "264","Mayo","Ireland","1"
 "266","Watlington Park","Oxon","1"
 "268","Worcester","Worcs","1"
 "269","Llanarth","Monmths","1"
 "270","Parkham","Devon","1"
 "272","Clanranald","Scotland","0"
 "273","Lindell","Rutland","1"
 "274","Barbados","America","0"
 "275","Corfe Castle","Dorset","1"
 "276","Locktown","America","0"
 "277","Fountains Abbey","Yorks","1"
 "278","Carthorpe","Yorks","1"
 "279","Callan, co Kilkenny","Ireland","1"
 "280","Brough","Yorks","1"
 "281","Stafford House","London","1"
 "283","Tidmarsh","Berks","1"
 "284","Leighton","Cambs","1"
 "285","Bavington Hall","Northd","1"
 "286","Snydale","Yorks","1"
 "287","Leyburn","Yorks","1"
 "288","Handale Abbey, Loftus","Yorks","1"
 "289","St Pieters near Ghent","Low Countries","0"
 "290","Varsenaere, Dioc Bruges","Low Countries","0"
 "292","Barton","Derbys","1"
 "293","Slindon","Sussex","1"
 "294","Husbands Bosworth","Leics","1"
 "295","Brailes","Warws","1"
 "298","Wolverton","Worcs","1"
 "299","the Augustinians convent, Paris","France","0"
 "300","Aintree House, nr Liverpool","Lancs","1"
 "301","Burn, nr Selby","Yorks","1"
 "302","Newport","Shrops","1"
 "304","Prince George's Cty, Maryland","America","0"
 "305","Wolverton","Bucks","1"
 "306","Dorney Court","Berks","1"
 "308","Linton","Yorks","1"
 "310","Piercebridge","Durham","1"
 "312","Whenby","Yorks","1"
 "313","Sandford","Oxon","1"
 "314","Lea","Lancs","1"
 "315","Lanherne","Cornw","1"
 "316","Alost","Low Countries","0"
 "317","Caernarvons","Wales","1"
 "318","Ambrosden","Oxon","1"
 "319","Kirby Hall","Lancs","1"
 "321","Marston","Warws","1"
 "322","Geldony","Low Countries","0"
 "323","Zemst, Brabant","Low Countries","0"
 "324","Holsteed","Lincs","1"
 "326","Rouen","France","0"
 "327","Zevergem, Flanders","Low Countries","0"
 "328","Compiègne","France","0"
 "329","Cambrai","France","0"
 "330","the Western District","England","0"
 "331","Gosfield, nr Halstead","Essex","1"
 "333","Prescott","Lancs","1"
 "334","Edinburgh","Scotland","0"
 "335","Mongewell","Oxon","1"
 "336","Costessey","Norfolk","1"
 "337","Plompton Hall","Yorks","1"
 "338","Aldborough","Norfolk","1"
 "339","Aster","Unidentified","0"
 "340","Cheeseburn Grange, nr Stamfordham","Northd","1"
 "341","Saumur?","France","0"
 "342","Eye","Suffolk","1"
 "344","Hill End and Castlemorton","Worcs","1"
 "345","Dorking","Surrey","1"
 "346","Burton Constable","Yorks","1"
 "347","Tusmore","Oxon","1"
 "348","Westby & Clifton","Lancs","1"
 "349","Torre Abbey","Devon","1"
 "351","Myerscough Lodge, The Fylde","Lancs","1"
 "352","Walton, nr Preston","Lancs","1"
 "353",NULL,"Essex","1"
 "354","Hempstead","Kent","1"
 "356","Hintlesham","Suffolk","1"
 "357","Stonyhurst","Lancs","1"
 "359","Tredegar","Monmths","1"
 "360","Pooley","Warws","1"
 "361","Beastone, nr Ashburton","Devon","1"
 "362",NULL,"Scotland","0"
 "363","Bordon(?)","Hants","1"
 "364","Kirkbarrow","Westmld","1"
 "365","Raglan Castle","Monmths","1"
 "366","Lulworth","Dorset","1"
 "367","Wigan","Lancs","1"
 "369","Berry Court","Hants","1"
 "370","Rock Savage","Ches","1"
 "372","Hanney","Berks","1"
 "373","Poole","Dorset","1"
 "374","Renard Castle","Durham","1"
 "375","Balnacraig, co Aberdeen","Scotland","0"
 "376","Bristol","Gloucs","1"
 "377","Aleuergam, Flanders","Low Countries","0"
 "379","Stapehill","Dorset","1"
 "380","Tergande, Holland","Low Countries","0"
 "381","Cantsfield","Lancs","1"
 "383","Walton-on-Thames","Surrey","1"
 "384","Lintz Hall","Durham","1"
 "385","Horsley","Staffs","1"
 "386","East Peckham","Kent","1"
 "388","St Michael","Lancs","1"
 "389","Isle of Wight","Hants","1"
 "390","Black Ladies, Brewood","Staffs","1"
 "391","Bockingham","Essex","1"
 "392",NULL,"Cornw","1"
 "393","Little Crosby","Lancs","1"
 "394","Brent Hall, nr Finchingfield","Essex","1"
 "395","Sudeley Castle","Gloucs","1"
 "397","Bishoprick","Durham","1"
 "398","Fenistrete, Appleton","Lancs","1"
 "399","Newcastle","Northd","1"
 "400","Bridport","Dorset","1"
 "402","Widnes","Lancs","1"
 "403","Barton","Warws","1"
 "404","Cowarne","Herefs","1"
 "405","Valenciennes","France","0"
 "406","Speke","Lancs","1"
 "407","Belgrave","Leics","1"
 "408","Heaton Hall","Northd","1"
 "409","Staunton Harold","Leics","1"
 "410","Dundee","Scotland","0"
 "411","Shipley","Sussex","1"
 "414","Lyford","Berks","1"
 "415","Ewhurst","Kent","1"
 "416","Wickhambreaux","Kent","1"
 "417","Dean","Lancs","1"
 "418","St Helen Auckland","Durham","1"
 "421","Culcheth","Lancs","1"
 "422","Norbury","Staffs","1"
 "423","Woolhampton and Brimpton","Berks","1"
 "424","Lostock","Lancs","1"
 "425","Suttongate, nr Hornchurch","Essex","1"
 "426","Brigham","Yorks","1"
 "427","Leinthall Starkes","Herefs","1"
 "428","Rawcliffe Hall","Lancs","1"
 "429","Evedon","Lincs","1"
 "431",NULL,"Worcs","1"
 "432","Parham","Sussex","1"
 "433","Chatcull","Staffs","1"
 "434","The Tagg, Cottam","Lancs","1"
 "435","Hereford","Herefs","1"
 "436","Chillington","Staffs","1"
 "438","Ripley","Yorks","1"
 "439","Westby","Yorks","1"
 "440",NULL,"Westmld","1"
 "442","Llantilio","Monmths","1"
 "443","Standish","Lancs","1"
 "444","Thelveton","Norfolk","1"
 "445","Clopton","Warws","1"
 "446","nr Reading","Berks","1"
 "447","Euxton","Lancs","1"
 "448","Capheaton","Northd","1"
 "449","Aigburth","Lancs","1"
 "450","Chichester","Sussex","1"
 "451","Ath, Co Hainaut","Low Countries","0"
 "453","Thurntoft","Yorks","1"
 "454","Bishop Middleham","Durham","1"
 "455","Llanarth","Wales","1"
 "457","Blackmore Park","Worcs","1"
 "458","Dimples Hall","Lancs","1"
 "459","Mindelheim","Germany","0"
 "461","Pangbourne","Berks","1"
 "462","Caverswall","Staffs","1"
 "463","Clayton-le-dale","Lancs","1"
 "464","Lowe","Shrops","1"
 "465","Gobions, North Mymms","Herts","1"
 "467","Coughton","Warws","1"
 "468","Ruardean","Gloucs","1"
 "469","Burton upon Trent","Staffs","1"
 "472","Sledwick","Durham","1"
 "473","Reedham","Norfolk","1"
 "474","Quidenham","Norfolk","1"
 "475","Antwerp","Low Countries","0"
 "476","Lancaster","Lancs","1"
 "478","Ostend","Low Countries","0"
 "480","Woorvail Howes","Shrops","1"
 "481","Dorney Court","Bucks","1"
 "482",NULL,"Beds","1"
 "483","Slapton","Northants","1"
 "484",NULL,"Hunts","1"
 "485","Nash Court in Marnhull","Dorset","1"
 "486","Merton Abbey","Surrey","1"
 "487","Woodrising","Norfolk","1"
 "489","Dronfield Woodhouse","Derbys","1"
 "490","Hainault","Low Countries","0"
 "491","Kirkham","Lancs","1"
 "492","Oxford","Oxon","1"
 "493","Darlington","Durham","1"
 "494","St Thomas' Priory","Staffs","1"
 "495","Mark Hall","Essex","1"
 "496","Hackness","Yorks","1"
 "499","Houghton Conquest","Beds","1"
 "500","Meath","Ireland","1"
 "501","Munich","Germany","0"
 "502","Wakefield","Yorks","1"
 "503","Wycliffe","Durham","1"
 "504","Thruxton","Hants","1"
 "506","Biddulph","Staffs","1"
 "507","Bradkirk","Lancs","1"
 "508","Pool House, Hanley Castle","Worcs","1"
 "510","Bouchout, Brabant","Low Countries","0"
 "512","Mons, Hainault","Low Countries","0"
 "515","St Ewe","Cornw","1"
 "516","Horden","Durham","1"
 "517","Ingatestone","Essex","1"
 "518","Coldingham, Berwickshire","Scotland","0"
 "520","Prior's Court, nr Newbury","Berks","1"
 "521","Barton Mills","Suffolk","1"
 "522","Crabbet","Sussex","1"
 "523","Scherboum, Anglia","Unidentified","0"
 "525","Hesketh Bank","Lancs","1"
 "526","Mold, Flints","Wales","1"
 "527","Pendle Hall, Higham","Lancs","1"
 "528","Aberdeen","Scotland","0"
 "529","Portington Hall","Yorks","1"
 "530","Surinam, West Indies","America","0"
 "531",NULL,"Norfolk","1"
 "532","Castlemorton","Worcs","1"
 "533","Little Chesterford","Essex","1"
 "534","Cowdray","Sussex","1"
 "535","Rome","Italy","0"
 "536","Isle of Thanet","Kent","1"
 "537","Normandy","France","0"
 "538","Stanwick","Yorks","1"
 "539","Burnthall","Surrey","1"
 "540","Mount Farden","Wilts","1"
 "541","Argyle","Scotland","0"
 "542","Merns, co Banf","Scotland","0"
 "543","Whitehill","Lancs","1"
 "544","Westby-cum-Plumpton, nr Kirkham","Lancs","1"
 "545","Burton Manor","Staffs","1"
 "546","Whiteladies","Staffs","1"
 "547","Much Wenlock","Shrops","1"
 "548","Burghwallis Hall, nr Doncaster","Yorks","1"
 "549","Shelton","Norfolk","1"
 "550","Birchley Hall","Lancs","1"
 "551","Borley","Essex","1"
 "552","Netherstone","Somerset","1"
 "553","Leden","Low Countries","0"
 "554","Thorpe St Andrew","Norfolk","1"
 "556","Augsburg","Germany","0"
 "557","Belmont","Hants","1"
 "558","Beck Hall, Billingford","Norfolk","1"
 "559","Lordington, Chichester","Sussex","1"
 "560","Selling","Kent","1"
 "561","Coxhoe Hall","Durham","1"
 "562",NULL,"Low Countries","0"
 "563","Latchford","Oxon","1"
 "564","Fairsnape","Lancs","1"
 "566","Beckerings Park, nr Ridgmont","Beds","1"
 "567","Stanninghall","Norfolk","1"
 "568","Hothfield","Kent","1"
 "569","North Lofthus","Yorks","1"
 "570",NULL,"Shrops","1"
 "571","Sayford","Warws","1"
 "572","Coldham Hall, Stanningfield","Suffolk","1"
 "574","Berechurch","Essex","1"
 "576","Aberdeenshire","Scotland","0"
 "578","Brindle","Lancs","1"
 "579","Knaresborough","Yorks","1"
 "580","Moseley","Staffs","1"
 "582","Thornton","Yorks","1"
 "583","Westby","Lancs","1"
 "584","Scotton Hall","Yorks","1"
 "585","Harwell","Staffs","1"
 "586","Carlton","Yorks","1"
 "587","Isle of Man","England","0"
 "588","Fulmer","Bucks","1"
 "589","Lierre","Low Countries","0"
 "590","Bannister Hall","Lancs","1"
 "591","Woolshall","Worcs","1"
 "593","Lynsted","Kent","1"
 "594","Sandringham","Norfolk","1"
 "595","Withernwick, Holderness","Yorks","1"
 "598","White Hall","Cumbd","1"
 "600","Naples","Italy","0"
 "601","Lydiate","Lancs","1"
 "602","Bickmarsh","Warws","1"
 "603","High Meadow","Gloucs","1"
 "604","Holme on Spalding Moor","Yorks","1"
 "605","West Rasen","Lincs","1"
 "606","Cashell, Munster","Ireland","1"
 "607","Tickhill Castle","Yorks","1"
 "608","Mowbreck Hall","Lancs","1"
 "610","Roberts Hall","Lancs","1"
 "611","Costford","Shrops","1"
 "614","Morley Hall and Myerscough Lodge","Lancs","1"
 "615","Bucklebury","Berks","1"
 "616","Frowton","Kent","1"
 "617","Sawston","Cambs","1"
 "618","Pentlow Hall","Essex","1"
 "619","Dalby","Leics","1"
 "621","Burford","Oxon","1"
 "622","Greenwich Hospital","Kent","1"
 "623",NULL,"Suffolk","1"
 "624","Arras","Low Countries","0"
 "625","Lawkland","Yorks","1"
 "626","Saxton","Yorks","1"
 "627","Grange, nr Mullingar, co Westmeath","Ireland","1"
 "628","Sodington Hall, Mamble","Worcs","1"
 "629","Hassop","Derbys","1"
 "630","Blaydon","Durham","1"
 "631",NULL,"Kent","1"
 "632","Scotney Castle","Kent","1"
 "634","Crofton","Yorks","1"
 "635","Compton","Hants","1"
 "637","Walton Hall, nr Wakefield","Yorks","1"
 "638","Misterton","Notts","1"
 "639","Stockeld Park, Wetherby","Yorks","1"
 "640","Burgh Hall, Standish","Lancs","1"
 "641","Egton Bridge","Yorks","1"
 "642","Malton","Yorks","1"
 "643","the Northern District","England","0"
 "644","Coutiches, bishopric of Arras","Low Countries","0"
 "646","Constable Burton","Yorks","1"
 "647","Rushbrooke","Suffolk","1"
 "648","Manchester","Lancs","1"
 "649","Redmarley","Worcs","1"
 "650","Moat Hall","Shrops","1"
 "651","Offchurch","Warws","1"
 "652","Worksop","Notts","1"
 "653","Reepham","Norfolk","1"
 "654","Isleworth","Middx","1"
 "655","Brampton","Yorks","1"
 "656","Arborfield","Berks","1"
 "657","Preston upon Tees","Durham","1"
 "658","Holborn","Middx","1"
 "659","Collom","France","0"
 "660","Leeds","Yorks","1"
 "663","Wilford","Notts","1"
 "665","Hawsted","Suffolk","1"
 "666","Charles Cty, Maryland","America","0"
 "667","West Smithfield","London","1"
 "668","Haughley Park","Suffolk","1"
 "669","Hanworth","Lincs","1"
 "670","Livorno, Tuscany","Italy","0"
 "672","Farnacres","Durham","1"
 "677","Brewood","Staffs","1"
 "678","Whitton","Middx","1"
 "680","Gormanston, co Meath","Ireland","1"
 "681",NULL,"Northants","1"
 "682","Athlone","Ireland","1"
 "683","Stanton","Northd","1"
 "684","Stonor","Oxon","1"
 "685","Lark Stoke","Gloucs","1"
 "686","Ashton","Lancs","1"
 "687","Barrow","Derbys","1"
 "688","Quosque Hall","Yorks","1"
 "689","Painsley","Staffs","1"
 "690","Erps, Brabant","Low Countries","0"
 "691","Stainfield","Lincs","1"
 "692","Holt, Kinsberg","Unidentified","0"
 "693","Cortowne [?Coughton]","Herefs","1"
 "695","Little Malvern","Worcs","1"
 "696","St Mary's City, Maryland","America","0"
 "697","Tixall","Staffs","1"
 "698","Park Hall, Quernmore","Lancs","1"
 "700","Hoddington","Warws","1"
 "701","Aire","Low Countries","0"
 "702","Spermallie","Low Countries","0"
 "703","Meldon","Northd","1"
 "706","Biddlestone","Northd","1"
 "707","Huyton Hey","Lancs","1"
 "708","Catherington","Hants","1"
 "709","Long Melford","Suffolk","1"
 "711","Kingsteignton","Devon","1"
 "712","s-Hertogenbosch, Brabant","Low Countries","0"
 "713","Wycliffe","Yorks","1"
 "714","Orleton","Herefs","1"
 "715","Preston Patrick","Lancs","1"
 "716","Longhorsley","Northd","1"
 "717","Longford","Ireland","1"
 "718","Denbigh","Wales","1"
 "719","Nieuport","Low Countries","0"
 "720","Stannington","Yorks","1"
 "721","Hanwell","Middx","1"
 "723","Stafford Castle","Staffs","1"
 "724","Shoby","Leics","1"
 "725","Hainton","Lincs","1"
 "728","Thorpe","Derbys","1"
 "729","Tursdale","Durham","1"
 "730","Kiddington","Oxon","1"
 "731","Dingestow","Monmths","1"
 "733","Mulwith, nr Ripon","Yorks","1"
 "734","Ufton","Berks","1"
 "735","Walworth Castle","Durham","1"
 "737","Antigua, W Indies","America","0"
 "738","Dunkenhalgh","Lancs","1"
 "739","Leighton","Lancs","1"
 "740","Denton's Green, Windle","Lancs","1"
 "741","Forburg in Bosco","Low Countries","0"
 "742","Newlands","Staffs","1"
 "744","Turvey","Bucks","1"
 "745","Walton","Staffs","1"
 "746","Pattishall","Northants","1"
 "747","Whiston","Durham","1"
 "749","Dean House","Wilts","1"
 "750","Nidd","Yorks","1"
 "751","Scarisbrick","Lancs","1"
 "752","Contoy, co Carlow","Ireland","1"
 "753","Furness","Lancs","1"
 "754",NULL,"London","1"
 "755","[Bourton] on the Water","Gloucs","1"
 "756","Linton","Cambs","1"
 "759","Grimoldby","Lincs","1"
 "761","Bryn","Lancs","1"
 "762","Broughton","Yorks","1"
 "763","Kempley","Gloucs","1"
 "765","Canterbury","Kent","1"
 "767","Yarm","Yorks","1"
 "768","Perry Hall","Warws","1"
 "769","Thornton Bridge","Yorks","1"
 "770","Axminster","Devon","1"
 "771","Burgh","Suffolk","1"
 "773","Bedford","Beds","1"
 "774","Lucca, Tuscany","Italy","0"
 "775","Brandenwood","Hants","1"
 "777","Wingerworth","Derbys","1"
 "779","Aspley","Notts","1"
 "780","Beaufront","Northd","1"
 "782","Roundhay","Yorks","1"
 "783","Caernarvon","Wales","1"
 "784","Aldenham","Herts","1"
 "785","Kidderminster","Worcs","1"
 "786","Battle Abbey","Sussex","1"
 "787","Lytham","Lancs","1"
 "788","Abbots Salford","Warws","1"
 "789","Saxilby","Lincs","1"
 "790","Newton","Lincs","1"
 "791","Blainscough Hall, nr Chorley","Lancs","1"
 "792","Coulster","Germany","0"
 "793","Tregonan","Cornw","1"
 "794","Thelton Hall, Thelveton","Norfolk","1"
 "795","Snarford","Lincs","1"
 "796","Compton Pauncefoot","Somerset","1"
 "797",NULL,"Leics","1"
 "798","Stanningfield","Suffolk","1"
 "799","Esh","Durham","1"
 "800","Powis Castle, Powys","Wales","1"
 "801",NULL,"Herefs","1"
 "802","Weston Coyney","Staffs","1"
 "803","Long Marston","Yorks","1"
 "804","Clayton","Yorks","1"
 "805","Dublin","Ireland","1"
 "806","Elsing","Norfolk","1"
 "807","Rookwood Hall","Essex","1"
 "808","Bois le Duc","Low Countries","0"
 "809","Mickleham or Mitcham","Surrey","1"
 "811","Ugbrooke","Devon","1"
 "812","Durham","Durham","1"
 "813","Ghent","Low Countries","0"
 "814","Halsall Hall","Lancs","1"
 "815","co Westmeath","Ireland","1"
 "816","Dadmans","Kent","1"
 "818","Higher Brockholes Hall","Lancs","1"
 "819","Boughton under the Blean","Kent","1"
 "821","Broughton","Lancs","1"
 "822","Whaddon","Cambs","1"
 "823","Sheer,  co Banf","Scotland","0"
 "824","Teynham","Kent","1"
 "825","Gunby nr Howden","Yorks","1"
 "828","Cordwell","Derbys","1"
 "830","Boulogne","France","0"
