"plid","place","loc","o_p"
 "831","Sint Pieters Woluwe, Brussels","Low Countries","0"
 "832",NULL,"Wilts","1"
 "833","Aarschot, Brabant","Low Countries","0"
 "834","Bury St Edmunds","Suffolk","1"
 "835","Kissenick, Liège","Low Countries","0"
 "836","Britwell House","Oxon","1"
 "838","Rotherwas","Herefs","1"
 "839","Pauntley Court","Gloucs","1"
 "840","Leckonby House, Great Eccleston","Lancs","1"
 "842","New Hall, nr Chelmsford","Essex","1"
 "843","St Wilfrid","Lancs","1"
 "846","Rushton","Northants","1"
 "848","Ribbleton","Lancs","1"
 "850","Alt Grange/New Hall","Lancs","1"
 "851","Talacre, Flints","Wales","1"
 "852","Ribchester","Lancs","1"
 "854","Garstang","Lancs","1"
 "855","Vethy, Brabant","Low Countries","0"
 "856","St Stephens, Hackington near Canterbury","Kent","1"
 "858","Gatacre Park","Shrops","1"
 "859","Dunton","Warws","1"
 "860","Weston-under-Wetherly","Warws","1"
 "861","Pritt, Brabant","Low Countries","0"
 "862","Charlecote","Warws","1"
 "864","co Waterford","Ireland","1"
 "865","Liverpool","Lancs","1"
 "866","Beverley","Yorks","1"
 "867","Davenwater, Newcastle","Northd","1"
 "868","Riemst, Brabant","Low Countries","0"
 "869","Palmer Park","Sussex","1"
 "870","Barton","Oxon","1"
 "871","Warblington and Bedhampton","Hants","1"
 "872","Chokier, Flanders","Low Countries","0"
 "874","Gainford","Durham","1"
 "875","Witton Shields","Northd","1"
 "878","Southwark","Surrey","1"
 "879","Stowe","Bucks","1"
 "880","Houghton","Yorks","1"
 "881",NULL,"Cumbd","1"
 "882","Denton","Northants","1"
 "883","Croxteth","Lancs","1"
 "884","Brambridge","Hants","1"
 "887","Wing","Bucks","1"
 "890","Leyland","Lancs","1"
 "891","Kingston","Berks","1"
 "892","Cortenbergh, Brabant","Low Countries","0"
 "893","Basil, St Clether","Cornw","1"
 "894","Wervick","Low Countries","0"
 "895","Hoogstraten, Flanders","Low Countries","0"
 "897","Bettisfield, Flints","Wales","1"
 "900","Kirklington","Yorks","1"
 "901","Hothersall Hall","Lancs","1"
 "903","Buckenham","Norfolk","1"
 "904","Neuberg","Low Countries","0"
 "905","Winchester Castle, Winchester","Hants","1"
 "906","Bilsborrow","Lancs","1"
 "908","Catterick","Yorks","1"
 "909","Hesleyside","Northd","1"
 "910","Stella","Durham","1"
 "911","Wolverhampton","Staffs","1"
 "914","Little Island, Waterford","Ireland","1"
 "915","Sodington","Worcs","1"
 "916","Shakerworth","Somerset","1"
 "917","Henwick","Berks","1"
 "920",NULL,"Gloucs","1"
 "921","Woolton","Lancs","1"
 "923","Morley Hall","Lancs","1"
 "924","Burghausen","Germany","0"
 "925","Bellhouse, Stanford Rivers","Essex","1"
 "926","Goosnargh","Lancs","1"
 "927","Wepre Park, Flintshire","Wales","1"
 "928","St Germain","France","0"
 "930","Dover Castle","Kent","1"
 "932","Appleton","Lancs","1"
 "934",NULL,"Notts","1"
 "935","Brussels","Low Countries","0"
 "937","High Hall, Hough","Lincs","1"
 "938","West Indies","America","0"
 "939",NULL,"Warws","1"
 "941","Gatterthorpe","Herefs","1"
 "942","Averdoing","Unidentified","0"
 "943","Hooton","Ches","1"
 "944",NULL,"Durham","1"
 "945","Hartridge","Kent","1"
 "946","Montserrat, W Indies","America","0"
 "948","Sutton St Michael","Herefs","1"
 "950","Englefield","Berks","1"
 "951","Downham Hall","Essex","1"
 "952","Whittingham Hall","Suffolk","1"
 "953","Hexham","Northd","1"
 "955","Sarnesfield","Herefs","1"
 "956","Chorley","Lancs","1"
 "957","Towneley","Lancs","1"
 "958","Lamesley","Durham","1"
 "959","The Soke, Winchester","Hants","1"
 "961","Chillingham","Northd","1"
 "962","Swyncombe","Oxon","1"
 "963","Crosby","Lancs","1"
 "965","Walmer Castle","Kent","1"
 "966","Islington","Middx","1"
 "967","Bruges","Low Countries","0"
 "968","Spinkhill","Derbys","1"
 "969","Heron Hall, East Horndon","Essex","1"
 "970","Heyford","Northants","1"
 "971","Brimham","Yorks","1"
 "972","Wetherden","Suffolk","1"
 "973","Haggerston","Northd","1"
 "974","Etten, nr Breda, Holland","Low Countries","0"
 "975","Horningsham","Wilts","1"
 "976","Wallow","Notts","1"
 "977","Bingfield","Northd","1"
 "978","Gelderland","Low Countries","0"
 "979","Haigh","Lancs","1"
 "980","Cash","Scotland","0"
 "981","Bentley","Suffolk","1"
 "983","Kilrush, Limerick","Ireland","1"
 "984","Denshire [unid. ? Denshaw, nr Oldham]","Lancs","1"
 "985","Salwick, nr Preston","Lancs","1"
 "986","Ten Goude","Low Countries","0"
 "987","Hengrave","Suffolk","1"
 "988","Peterley in Great Missenden","Bucks","1"
 "989","Meols","Lancs","1"
 "990","West Hallam","Derbys","1"
 "992","Dissington","Northd","1"
 "993","Burford Priory","Oxon","1"
 "994","Upton upon Severn","Herefs","1"
 "996","Twyning","Gloucs","1"
 "997","Maidstone","Kent","1"
 "998","Clixby","Lincs","1"
 "999","Odstock","Wilts","1"
 "1000","Downholland","Lancs","1"
 "1001","Dilston","Northd","1"
 "1002","Osgodby","Yorks","1"
 "1003","Benham","Berks","1"
 "1004","Little Audley End","Essex","1"
 "1005","Mestham","Surrey","1"
 "1006",NULL,"Somerset","1"
 "1007","Ickworth","Suffolk","1"
 "1009","Coughton Court","Warws","1"
 "1010","York","Yorks","1"
 "1011","Greenfield, Flints","Wales","1"
 "1012","Plowden","Shrops","1"
 "1013","Saint Germain en Laye","France","0"
 "1014","Milford Haven, Pembrokes","Wales","1"
 "1015","Guildford","Surrey","1"
 "1016","Perry Hall","Staffs","1"
 "1017","Farington, Leyland","Lancs","1"
 "1018","Lee Hall","Shrops","1"
 "1024","Walworth Moor","Durham","1"
 "1025","Worthington in Standish","Lancs","1"
 "1026","Purston Jaglin","Yorks","1"
 "1027","Seven Parish","Unidentified","0"
 "1028","Ketton","Rutland","1"
 "1029","Hengrave Hall","Suffolk","1"
 "1030","Holme Hall","Yorks","1"
 "1032","Keythorpe","Leics","1"
 "1033","Amesbury","Wilts","1"
 "1034","Bilesia","Portugal","0"
 "1035","Sefton","Lancs","1"
 "1036",NULL,"Surrey","1"
 "1039","Haddon, Bampton","Oxon","1"
 "1040","Hornchurch","Essex","1"
 "1041","White Hall","Northd","1"
 "1042","Orell, nr Wigan","Lancs","1"
 "1043","Taunton","Somerset","1"
 "1044","Somers Town","London","1"
 "1046","Montreal, Canada","America","0"
 "1047","Bracon Ash","Norfolk","1"
 "1048","East Hendred","Berks","1"
 "1049","Ballyhaly and Macetown ","Ireland","1"
 "1050","Stock","Essex","1"
 "1052","Albrighton","Shrops","1"
 "1053","Tournai","France","0"
 "1054","Diocese of Chester","England","0"
 "1055","Crathorne","Yorks","1"
 "1056",NULL,"France","0"
 "1057","Fenham","Northd","1"
 "1058","Ross","Ireland","1"
 "1059","Ellenhall","Staffs","1"
 "1060","Scorton","Yorks","1"
 "1061","Newhall, West Derby","Lancs","1"
 "1062","St Petrock, Caernarvon","Wales","1"
 "1063","Wells","Somerset","1"
 "1066","Birmingham","Warws","1"
 "1068","Ossett","Yorks","1"
 "1069","Northampton","Northants","1"
 "1070","Knightley","Staffs","1"
 "1071","Middle Temple","London","1"
 "1072","Braddocks, nr Wimbish","Essex","1"
 "1074","Ypres","France","0"
 "1078","Loughton","Bucks","1"
 "1079","Walton","Lancs","1"
 "1080","Beamish Park","Durham","1"
 "1081","St Ursula's, Louvain","Low Countries","0"
 "1083","Eynsham","Oxon","1"
 "1084","Bellingham","Northd","1"
 "1085","North Cliffe","Yorks","1"
 "1086","Widdrington","Northd","1"
 "1087","Canfield Hall","Essex","1"
 "1088","Cartington","Northd","1"
 "1089","Ryedale","Westmld","1"
 "1090","Gibside","Durham","1"
 "1091","Munches, co Dumfries","Scotland","0"
 "1092","Milton Place","Surrey","1"
 "1094","Holderness","Yorks","1"
 "1095",NULL,"Rutland","1"
 "1096","Bentley","Sussex","1"
 "1097","Croston","Lancs","1"
 "1098","Leigh","Worcs","1"
 "1099","Healey","Lancs","1"
 "1100","Wootton Wawen","Warws","1"
 "1101","Cannock","Staffs","1"
 "1103","Ingrave","Essex","1"
 "1104","Yatebank, nr Blackburn","Lancs","1"
 "1105","Elswick","Lancs","1"
 "1108","Acton Place, Long Melford","Suffolk","1"
 "1109","Plumpton","Yorks","1"
 "1112","Smithills","Lancs","1"
 "1114","Deptford","Kent","1"
 "1116","Buckhurst","Kent","1"
 "1117","Bury St Edmunds","Norfolk","1"
 "1119","Haddon Hall, nr Bakewell","Derbys","1"
 "1121","Oxburgh","Norfolk","1"
 "1122","Millom Castle","Cumbd","1"
 "1123","co Kilkenny","Ireland","1"
 "1124","Limon, Liège","Low Countries","0"
 "1125","Mains, Little Singleton","Lancs","1"
 "1126","Fryern, nr Storrington","Sussex","1"
 "1127","Liège cathedral","Low Countries","0"
 "1128","Combe","Herefs","1"
 "1129","Linthorpe","Yorks","1"
 "1132","Thurnham Hall","Lancs","1"
 "1133","Sunderland Bridge","Durham","1"
 "1134","Llanfoist","Monmths","1"
 "1137","Ullenhall and Great Alne","Warws","1"
 "1138","Edgbaston","Warws","1"
 "1140","Emley","Yorks","1"
 "1141","La Trappe, Normandy","France","0"
 "1142","Earswick","Yorks","1"
 "1143","Grove Park, nr Budbrooke","Warws","1"
 "1144","Pocklington","Yorks","1"
 "1147","Blickling","Norfolk","1"
 "1148","Clare Lodge, Scorton","Yorks","1"
 "1149","Somerton","Oxon","1"
 "1150","Hebburn","Durham","1"
 "1151","Mortsel, Brabant","Low Countries","0"
 "1153","Kelvedon Hatch","Essex","1"
 "1154","St Gitterings parish","Monmths","1"
 "1156","Carleton","Yorks","1"
 "1157","Dalbet","Lancs","1"
 "1159","Brome","Suffolk","1"
 "1160","Furness","Cumbd","1"
 "1161","Tockington","Gloucs","1"
 "1164","Douai","Low Countries","0"
 "1165","Norton Conyers","Yorks","1"
 "1166","Walcot","Shrops","1"
 "1167","Tilton","Leics","1"
 "1168","Madeley","Staffs","1"
 "1169","Woodchurch","Kent","1"
 "1170","Cocken Hall","Durham","1"
 "1171","Exeter","Devon","1"
 "1173","Pontoise","France","0"
 "1174","Brabant","Low Countries","0"
 "1176","Buckland","Oxon","1"
 "1178","Market Deeping","Lincs","1"
 "1179","Nottingham","Notts","1"
 "1180","Easebourne","Sussex","1"
 "1181","St Mary's Cty, Maryland","America","0"
 "1182","Little Walton","Lancs","1"
 "1184","Linton on Ouse","Lancs","1"
 "1185","Weston","Warws","1"
 "1186","Amstry","Herefs","1"
 "1187","Sutton Courtenay","Berks","1"
 "1190","Canford","Dorset","1"
 "1192","Broadward","Herefs","1"
 "1193","Bodney","Norfolk","1"
 "1194","Grove Place","Hants","1"
 "1195","Faulkbourne","Essex","1"
 "1196","Upsall Castle","Yorks","1"
 "1197","Workington","Cumbd","1"
 "1199","Brookhouse","Yorks","1"
 "1200","Rumden","Kent","1"
 "1201","Wellhall, Eltham","Kent","1"
 "1202","Tilehurst","Berks","1"
 "1203","Broughton, Craven","Yorks","1"
 "1204","Preston","Lancs","1"
 "1206","Westby, Lytham and Salwick Halls","Lancs","1"
 "1208","Richmond","Surrey","1"
 "1210","Orcop","Herefs","1"
 "1211","Thrybergh","Yorks","1"
 "1212","Grace Dieu","Leics","1"
 "1213","Sutton Ct","Middx","1"
 "1214","Emsworth","Hants","1"
 "1215","Orle Place","Sussex","1"
 "1216","Dunleckney Manor, co Carlow","Ireland","1"
 "1221","Sotterley","Suffolk","1"
 "1223","Hutington","Bucks","1"
 "1224","Wroxall","Warws","1"
 "1226","Coesmere","Shrops","1"
 "1227","Lehurst","Shrops","1"
 "1228","Alnwick Castle","Northd","1"
 "1229","Bridlymore,Tardebigge","Worcs","1"
 "1231","Cork","Ireland","1"
 "1232","Cookhill House","Worcs","1"
 "1233","Hanmer Hall, Flints","Wales","1"
 "1234","Sutton","Herefs","1"
 "1235","Calvert Cty, Maryland","America","0"
 "1236","Greasindale, Garston","Lancs","1"
 "1237","Croxdale","Durham","1"
 "1238","Plumpton","Sussex","1"
 "1239","Flixton","Suffolk","1"
 "1240","Haddockstones, nr Ripon","Yorks","1"
 "1241","Sculthorpe","Norfolk","1"
 "1242","Saint Omer, Artois","Low Countries","0"
 "1244","Dinant","Low Countries","0"
 "1245","Isle of Rossall","Shrops","1"
 "1246","Mantefield","Unidentified","0"
 "1250","Sherborne St John","Hants","1"
 "1251","Holland","Low Countries","0"
 "1252","Lasingcroft","Yorks","1"
 "1254","Toy, nr Liège","Low Countries","0"
 "1256","Cold Ash [in Thatcham]","Berks","1"
 "1257","Ruddervoorde, Flanders","Low Countries","0"
 "1258","Shrewsbury","Shrops","1"
 "1259","Ashford","Kent","1"
 "1260","Ditchford","Warws","1"
 "1261","Paston","Norfolk","1"
 "1263","Irnham","Lincs","1"
 "1264","Tichborne","Hants","1"
 "1266","Little Ditchford","Worcs","1"
 "1267","Maryland","America","0"
 "1268","Bywell","Northd","1"
 "1270","Holcroft","Lancs","1"
 "1271",NULL,"America","0"
 "1272","Burstall","Suffolk","1"
 "1273","Brackenbury Hall","Yorks","1"
 "1275","Valognes, Normandy","France","0"
 "1276","Llantarnam","Monmths","1"
 "1277","Beeston Castle","Ches","1"
 "1278","Rounton","Warws","1"
 "1280","Queniborough","Leics","1"
 "1281","Barlow Hall, nr Chorlton","Lancs","1"
 "1282","Scotney","Sussex","1"
 "1284","Britwell","Oxon","1"
 "1285","Tyringham","Bucks","1"
 "1286","Deene","Northants","1"
 "1287","Perthyre [? Llantilio Pertholey]","Monmths","1"
 "1288","Ashby St Ledgers","Northants","1"
 "1289","St Giles","London","1"
 "1290","Charles Town, Maryland","America","0"
 "1291","Shirburn Castle","Oxon","1"
 "1293","Sutton","Ches","1"
 "1294","Colston Bassett","Notts","1"
 "1295","Amersden","Oxon","1"
 "1296","Bath","Somerset","1"
 "1297","Ashby Folville","Leics","1"
 "1298","Flanders","Low Countries","0"
 "1299","Kniveton","Derbys","1"
 "1300","Buckby Hall","Bucks","1"
 "1301","Beenham","Berks","1"
 "1302","Burrow on the Hill","Leics","1"
 "1303","Great Berington [?Great Barrington, Glocs]","Wilts","1"
 "1304","Writtle","Essex","1"
 "1305","Abingdon","Berks","1"
 "1306","Dunton Hall","Essex","1"
 "1308","Tiendrish, nr Inverness","Scotland","0"
 "1309","Rufford Abbey","Notts","1"
 "1310","Warwick Hall","Cumbd","1"
 "1311","West Grinstead Place","Sussex","1"
 "1312","North Cave","Yorks","1"
 "1313","Ormskirk","Lancs","1"
 "1314","Stratford-upon-Avon","Warws","1"
 "1315","Fawley","Berks","1"
 "1316","Cleeve","Somerset","1"
 "1318","Edern,  Caernarvons","Wales","1"
 "1321","Tredowan","Cornw","1"
 "1322","Spetchley","Worcs","1"
 "1323","Callaly","Northd","1"
 "1324","co Cork","Ireland","1"
 "1326","Audley","Staffs","1"
 "1327","Balnacree, Aberdeen","Scotland","0"
 "1328","Golf Whitford, Flints","Wales","1"
 "1329","Roxwell","Essex","1"
 "1330","Maniene/Menine, Brabant","Low Countries","0"
 "1331",NULL,"Hants","1"
 "1332","Helmesley","Yorks","1"
 "1333","Audley End","Essex","1"
 "1334","Nevill Holt","Leics","1"
 "1335","co Meath","Ireland","1"
 "1336","Barnburgh Hall","Yorks","1"
 "1338","Weston Underwood","Bucks","1"
 "1339","Penistone","Yorks","1"
 "1340","Newent","Gloucs","1"
 "1341","Hartpury Court","Gloucs","1"
 "1342","Ipstones","Staffs","1"
 "1343","Bolney","Sussex","1"
 "1344","Waterperry","Oxon","1"
 "1345","Porto","Portugal","0"
 "1349","Hartlepury Court","Worcs","1"
 "1350","Exceter House","Devon","1"
 "1351","Barnbow","Yorks","1"
 "1352","Marnhull","Dorset","1"
 "1353","Greetwell","Lincs","1"
 "1354","Blackfriars","London","1"
 "1356",NULL,"Bucks","1"
 "1357","Donstienne, Liège","Low Countries","0"
 "1358","Killamarsh","Derbys","1"
 "1359","Wrightington","Lancs","1"
 "1363","Runswick","Yorks","1"
 "1366",NULL,"Oxon","1"
 "1367","Aston","Shrops","1"
 "1368","Stafford County, Virginia","America","0"
 "1369",NULL,"Sussex","1"
 "1370","Allerton","Yorks","1"
 "1372","Champion Ct","Bucks","1"
 "1373","Aston Hall, nr Lancaster","Lancs","1"
 "1374","Finchingfield","Norfolk","1"
 "1377","Brambletye","Sussex","1"
 "1378","Hill Croome","Worcs","1"
 "1379","Seaton","Rutland","1"
 "1381","Turvey","Beds","1"
 "1383","Kingston","Devon","1"
 "1384","Horton","Oxon","1"
 "1385","Appleton","Norfolk","1"
 "1386","Turnham Green","Middx","1"
 "1387","Beoley","Worcs","1"
 "1388","Walwick Grange","Northd","1"
 "1389","Bedingfield","Suffolk","1"
 "1390","Peckham","Surrey","1"
 "1392","Glossop","Derbys","1"
 "1393","Lissington","Lincs","1"
 "1394","Rivenhall","Essex","1"
 "1395","Petersfield","Hants","1"
 "1396","Grimston Garth","Yorks","1"
 "1397","Garston","Lancs","1"
 "1398","Lincoln","Lincs","1"
 "1400","Lulworth Castle","Dorset","1"
 "1401","Bryantown, Maryland","America","0"
 "1402","Loddington","Northants","1"
 "1403","Newark on Trent","Notts","1"
 "1404","Calehill, nr Little Chart","Kent","1"
 "1406","Pennington","Lancs","1"
 "1407","Poole Hall, nr Nantwich","Ches","1"
 "1408","Thornaby-on-Tees","Yorks","1"
 "1409","Michelgrove","Sussex","1"
 "1410","Willenhall","Staffs","1"
 "1411","Austwick Hall","Yorks","1"
 "1412","Caversham","Oxon","1"
 "1413","Vilvorde","Low Countries","0"
 "1414","Westminster","Middx","1"
 "1415","Norwich","Norfolk","1"
 "1417","Littlewood Hall","Lancs","1"
 "1419","Langthorpe","Yorks","1"
 "1420","Blakiston","Durham","1"
 "1422","Westby, Clifton & Lytham","Lancs","1"
 "1423",NULL,"Lancs","1"
 "1425",NULL,"Northd","1"
 "1427","Stafford","Staffs","1"
 "1428","Baddesley Clinton","Warws","1"
 "1429","Burham","Kent","1"
 "1430","Hartlip","Kent","1"
 "1432","Claxby","Lincs","1"
 "1433","Windsor","Berks","1"
 "1434","Mechelen","Low Countries","0"
 "1435","Horne, Brabant","Low Countries","0"
 "1436","Paris","France","0"
 "1437","Addington","Bucks","1"
 "1438","Shapwick","Somerset","1"
 "1440","Tiverton","Devon","1"
 "1442",NULL,"Cambs","1"
 "1443","Bransby","Yorks","1"
 "1445","Notley Hall, Prince George's Cty, Maryland","America","0"
 "1446","Woolston-cum-Poulton","Lancs","1"
 "1447","Stoke-by-Nayland","Suffolk","1"
 "1449","Standlake","Oxon","1"
 "1450","Metham","Yorks","1"
 "1451","The Grange","Northd","1"
 "1452","Brittany","France","0"
 "1454","Colwich","Staffs","1"
 "1456","Barningham Hall","Norfolk","1"
 "1457","Firle","Sussex","1"
 "1459","Poolthorne, nr Cadney","Lincs","1"
 "1461","Barningham","Norfolk","1"
 "1463","Hartbushes","Durham","1"
 "1464","Ore","Sussex","1"
 "1465","Garswood","Lancs","1"
 "1466","Scabbrough, nr Dublin","Ireland","1"
 "1467","Winwick","Lancs","1"
 "1468","Butley Abbey, Sutton","Suffolk","1"
 "1469","Blackwell Hall","Lincs","1"
 "1470","Marvilla, nr Lisbon","Portugal","0"
 "1471","Clytha","Monmths","1"
 "1472","Moll, Brabant","Low Countries","0"
 "1474","Salisbury","Wilts","1"
 "1476","Stokesley","Yorks","1"
 "1477","Thurles","Ireland","1"
 "1478",NULL,"Berks","1"
 "1480","Parham","Suffolk","1"
 "1481","Wilsthorpe","Lincs","1"
 "1482","Mersham Hatch","Kent","1"
 "1483","Dacres Hall","Yorks","1"
 "1486","Luxembourg","Low Countries","0"
 "1487","Wardour","Wilts","1"
 "1489",NULL,"Staffs","1"
 "1490","Inverness","Scotland","0"
 "1491","Claughton Hall","Lancs","1"
 "1492","Gilling","Yorks","1"
 "1493","Cheney Court, Bishops Frome","Herefs","1"
 "1494","Holts Hall, Maryland","America","0"
 "1495","Whittingham Hall","Lancs","1"
 "1496","Shernill","Hants","1"
 "1497","Bedhampton","Hants","1"
 "1498","Broadwell","Oxon","1"
 "1499","Hendred","Berks","1"
 "1500","Durward Hall, Bocking","Essex","1"
 "1501","Loyndee [? Lydney, Glocs]","Monmths","1"
 "1502","Naworth Castle","Cumbd","1"
 "1503","Sampford Hall, Little Sampford","Essex","1"
 "1504","Giffard House, Wolverhampton","Staffs","1"
 "1507","Cottam","Lancs","1"
 "1508","Ashton-under-Lyne","Lancs","1"
 "1509","Stoke Charity","Hants","1"
 "1510","Salden","Bucks","1"
 "1511","Bidlesden","Northd","1"
 "1512","Ilkely","Yorks","1"
 "1514","Diest, Brabant","Low Countries","0"
 "1516","Hesket","Lancs","1"
 "1517","Caddock Hall, Copdock","Suffolk","1"
 "1518","Dusseldorf","Germany","0"
 "1519","Netherwitton","Northd","1"
 "1520","Farningham","Kent","1"
 "1521","Raby Castle","Durham","1"
 "1522","Turners Puddle","Dorset","1"
 "1523","Roby","Lancs","1"
 "1525","Swynnerton","Staffs","1"
 "1526","Herderleidg","Derbys","1"
 "1528","Tudhoe","Durham","1"
 "1529","Trimlestown, co Meath","Ireland","1"
 "1530","Lartington Hall","Durham","1"
 "1536","Biddestone","Wilts","1"
 "1537","Borwick Hall","Lancs","1"
 "1538","Market Drayton","Shrops","1"
 "1539","The Marsh","Shrops","1"
 "1540",NULL,"Dorset","1"
 "1542","Newsham, Kirkby-on-the-hill","Yorks","1"
 "1543","Trevorder","Cornw","1"
 "1544","Layton","Durham","1"
 "1545","Harrowden","Northants","1"
 "1546","Warblington","Hants","1"
 "1547",NULL,"England","0"
 "1548","Cologne","Germany","0"
 "1550","Brentford","Middx","1"
 "1551","Rodmersham","Kent","1"
 "1556","Warnham","Sussex","1"
 "1557","Croivilles","France","0"
 "1559","Eccleston","Lancs","1"
 "1560","Mannel Hall","Worcs","1"
 "1561","St Helens","Lancs","1"
 "1562","Everingham","Yorks","1"
 "1566","Cheam","Surrey","1"
 "1567","Sizergh","Cumbd","1"
 "1568","Ditton","Lancs","1"
 "1569","nr Brussels","Low Countries","0"
 "1570","Angers","France","0"
 "1571","Greasby","Ches","1"
 "1574",NULL,"Ches","1"
 "1575","Ushaw Moor","Durham","1"
 "1576","Knitely","Bucks","1"
 "1577","Buslingthorpe","Lincs","1"
 "1578","Holywell, Flints","Wales","1"
 "1579","Higham","Kent","1"
 "1580","Spofforth Lodge, Knaresborough","Yorks","1"
 "1581","Ludlow","Shrops","1"
 "1582","Sandford, Fife","Scotland","0"
 "1583","Danby","Yorks","1"
 "1585","Charnock Richard","Lancs","1"
 "1586","Lathom","Lancs","1"
 "1587","Sheffield","Yorks","1"
 "1588","Fithlers","Essex","1"
 "1589","Beckford","Gloucs","1"
 "1590","Standon","Staffs","1"
 "1591","Marston","Yorks","1"
 "1592","Whitchurch","Berks","1"
 "1593","Poole","Lancs","1"
 "1594","Downsell Hall","Essex","1"
 "1595","Morton Bagot","Warws","1"
 "1597","Mackborough","Devon","1"
 "1598","Shankton","Leics","1"
 "1601","Shirley","Leics","1"
 "1602","Montwick in Colchester","Essex","1"
 "1603","Penrith","Cumbd","1"
 "1604","Gatton","Surrey","1"
 "1605","Shefford Manor","Berks","1"
 "1609","Warrington","Ches","1"
 "1610",NULL,"Derbys","1"
 "1611","Naburn","Yorks","1"
 "1613","the Midland district","England","0"
 "1615","Eltham","Kent","1"
 "1616","Dunkirk","France","0"
 "1617","Lorraine","France","0"
 "1619","Longton","Staffs","1"
 "1620","Clifton","Lancs","1"
 "1621","Geneva","Italy","0"
 "1622","Rugeley","Staffs","1"
 "1624","Allington","Kent","1"
 "1625","Turnover Hall","Lancs","1"
 "1626","Comberford","Staffs","1"
 "1627","Witherslack Hall","Westmld","1"
 "1628","Widdrington Castle","Northd","1"
 "1629","Walton-le-Dale","Lancs","1"
 "1630","Winsley Hall","Herefs","1"
 "1631","Mawley Hall, nr Cleobury Mortimer","Shrops","1"
 "1632","Sowerby","Yorks","1"
 "1633","St Sepulchre","London","1"
 "1634","Haling","Surrey","1"
 "1635","Southampton","Hants","1"
 "1636","Brompton","Kent","1"
 "1637","Markington","Yorks","1"
 "1638","Harwell","Notts","1"
 "1639","Rocester Abbey, Uttoxeter","Staffs","1"
 "1640","Eccleshall","Staffs","1"
 "1641","Walworth Castle, Ushaw Moor","Durham","1"
 "1642","Leeberg (Ledeberg) nr Ghent","Low Countries","0"
 "1644","Velsique","Low Countries","0"
 "1645","Arnhem","Low Countries","0"
 "1646","Corby Castle","Cumbd","1"
 "1648","Acornbank","Westmld","1"
 "1655","Strensham","Worcs","1"
 "1656","Woodhall","Worcs","1"
 "1677","Bouillon","Low Countries","0"
 "1679","Huddlestone","Yorks","1"
 "1680","Huddlestone Hall","Yorks","1"
 "1681","Clough Hall, Myndtown","Shrops","1"
 "1682","Rocester & Rocester Abbey, Uttoxeter","Staffs","1"
 "1683","Scotney","Kent","1"
 "1684","Lanthorpe","Yorks","1"
 "1685","Haddon","Oxon","1"
 "1686","Bampton","Oxon","1"
 "1689","Peterley","Bucks","1"
 "1690","Beaurain","Low Countries","1"
 "1691","London","England","1"
 "1692","Alconbury","Hunts","1"
 "1695","Lincoln's Inn Fields","London","1"
 "1696","Grovehurst in Milton","Kent","1"
 "1697","Caversham","Berks","1"
 